# Tonal Marks
0020	{SPACE}
02C7	3
02CA	6
02CB	4
02D9	7

# Bopomofo Symbols
# 1. Consonants: 0x3105 ~ 0x3119
# 2. Medials: 0x3127 ~ 0x3129
# 3. Rhymes: 0x311A ~ 0x3126
3105	1
3106	q
3107	a
3108	z
3109	2
310A	w
310B	s
310C	x
310D	e
310E	d
310F	c
3110	r
3111	f
3112	v
3113	5
3114	t
3115	g
3116	b
3117	y
3118	h
3119	n
311A	8
311B	i
311C	k
311D	,
311E	9
311F	o
3120	l
3121	.
3122	0
3123	p
3124	;
3125	/
3126	-
3127	u
3128	j
3129	m

# Punctuation Marks
2026	`u2026
203B	^!,r
2500	^!,z
3001	^'
3002	^.
300C	^!,=
300D	^!,\
300E	^!,0
300F	^!,-
3010	^[
3011	^]
FF01	^+1
FF0C	^,
FF1A	^+;
FF1B	^;
FF1F	^+/
FF5B	^+[
FF5D	^+]

# Math Symbols
00D7	`u00d7
00F7	`u00f7
2190	^!,b
2191	^!,h
2192	^!,n
2193	^!,j

# Greek Characters
03B1	`u03b1
03B2	`u03b2
03B3	`u03b3
03B4	`u03b4
