# Bopomofo
135-345-3	3105-311A-0020
135-345-4	3105-311A-02C7
135-345-2	3105-311A-02CA
135-345-5	3105-311A-02CB
135-345-1	3105-311A-02D9
135-126-3	3105-311B-0020
135-126-4	3105-311B-02C7
135-126-2	3105-311B-02CA
135-126-5	3105-311B-02CB
135-126-1	3105-311B-02D9
135-2456-3	3105-311E-0020
135-2456-4	3105-311E-02C7
135-2456-2	3105-311E-02CA
135-2456-5	3105-311E-02CB
135-356-3	3105-311F-0020
135-356-4	3105-311F-02C7
135-356-5	3105-311F-02CB
135-356-1	3105-311F-02D9
135-146-3	3105-3120-0020
135-146-4	3105-3120-02C7
135-146-2	3105-3120-02CA
135-146-5	3105-3120-02CB
135-146-1	3105-3120-02D9
135-1236-3	3105-3122-0020
135-1236-4	3105-3122-02C7
135-1236-5	3105-3122-02CB
135-136-3	3105-3123-0020
135-136-4	3105-3123-02C7
135-136-5	3105-3123-02CB
135-1346-3	3105-3124-0020
135-1346-4	3105-3124-02C7
135-1346-5	3105-3124-02CB
135-1356-3	3105-3125-0020
135-1356-4	3105-3125-02C7
135-1356-2	3105-3125-02CA
135-1356-5	3105-3125-02CB
135-16-3	3105-3127-0020
135-16-4	3105-3127-02C7
135-16-2	3105-3127-02CA
135-16-5	3105-3127-02CB
135-346-3	3105-3127-311D-0020
135-346-4	3105-3127-311D-02C7
135-346-2	3105-3127-311D-02CA
135-346-5	3105-3127-311D-02CB
135-246-3	3105-3127-3120-0020
135-246-4	3105-3127-3120-02C7
135-246-5	3105-3127-3120-02CB
135-2345-3	3105-3127-3122-0020
135-2345-4	3105-3127-3122-02C7
135-2345-5	3105-3127-3122-02CB
135-1456-3	3105-3127-3123-0020
135-1456-5	3105-3127-3123-02CB
135-13456-3	3105-3127-3125-0020
135-13456-4	3105-3127-3125-02C7
135-13456-5	3105-3127-3125-02CB
135-34-3	3105-3128-0020
135-34-4	3105-3128-02C7
135-34-2	3105-3128-02CA
135-34-5	3105-3128-02CB
1234-345-3	3106-311A-0020
1234-345-2	3106-311A-02CA
1234-345-5	3106-311A-02CB
